,gram_count,document_count,Average_freq,maha_dist
stratified,360,12,30.0,5.241961635123328
random,485,19,25.526315789473685,7.4302326119414195
sampling,815,16,50.9375,9.216529421484639
from,670,19,35.26315789473684,8.501945502249653
streaming,69,1,69.0,17.631719327041264
and,2188,19,115.15789473684211,24.27039043445575
stored,30,3,10.0,1.8297291198653984
data,470,18,26.11111111111111,7.019270985077055
state,33,10,3.3,3.4500087483580897
university,33,10,3.3,3.4500087483580897
at,151,15,10.066666666666666,5.304737277527816
t,115,16,7.1875,5.815279373130747
usa,17,4,4.25,0.9453141468208098
tirthapura,8,1,8.0,1.6177985932376384
abstract,11,7,1.5714285714285714,2.235520229697045
srs,126,8,15.75,3.11079755529561
is,1487,19,78.26315789473684,16.339090326592892
a,1915,19,100.78947368421052,21.13274786480141
widely,13,6,2.1666666666666665,1.7722115033939791
used,248,17,14.588235294117647,6.082458073275524
for,1325,19,69.73684210526316,14.591175826061958
approximate,20,5,4.0,1.3212527781584862
query,29,1,29.0,7.107360232295761
processing,51,6,8.5,1.9458896105491914
we,703,19,37.0,8.73939489415492
consider,57,11,5.181818181818182,3.7986116701429196
on,624,19,32.8421052631579,8.191815940882105
arriving,7,1,7.0,1.3643281590068304
streams,16,2,8.0,1.4408440559517086
make,34,12,2.8333333333333335,4.3350209100571675
the,6433,19,338.57894736842104,74.82396735496705
following,62,15,4.133333333333334,5.5485726314253405
present,42,6,7.0,1.8286635101974036
lower,46,9,5.111111111111111,2.963996427172979
that,768,19,40.421052631578945,9.239533623051877
shows,34,10,3.4,3.4455060935456014
any,60,15,4.0,5.556477427175496
ing,28,6,4.666666666666667,1.735775832111276
algorithm,138,7,19.714285714285715,3.5406117640470427
must,45,11,4.090909090909091,3.8424170089236585
have,223,18,12.38888888888889,6.505778837732026
in,2159,19,113.63157894736842,23.93507618093758
case,144,15,9.6,5.31592777444828
variance,275,11,25.0,4.539572431925915
r,70,15,4.666666666666667,5.517968006612259
factor,26,7,3.7142857142857144,2.154497115821596
optimal,59,8,7.375,2.5580842174043097
where,156,18,8.666666666666666,6.595214861285629
number,229,17,13.470588235294118,6.081521472197588
of,3563,19,187.52631578947367,40.45647549393001
strata,414,13,31.846153846153847,5.6633353476398725
results,194,15,12.933333333333334,5.2673164777927335
experiments,28,7,4.0,2.1493370701826944
real,15,8,1.875,2.6539573180616016
show,41,9,4.555555555555555,2.977865020229023
