,gram_count,document_count,Average_freq,maha_dist,mad_z_gram_count,mad_z_document_count,mad_z_Average_freq
stratified,360,12,30.0,5.241961635123328,242.1455,7.4195,19.5605
random,485,19,25.526315789473685,7.4302326119414195,326.45799999999997,12.141,16.543
sampling,815,16,50.9375,9.216529421484639,549.043,10.1175,33.682843749999996
from,670,19,35.26315789473684,8.501945502249653,451.2405,12.141,23.1105
streaming,69,1,69.0,17.631719327041264,45.866,0.0,45.866
and,2188,19,115.15789473684211,24.27039043445575,1475.1315,12.141,76.9995
stored,30,3,10.0,1.8297291198653984,19.5605,1.349,6.0705
data,470,18,26.11111111111111,7.019270985077055,316.3405,11.4665,16.937444444444445
iowa,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
state,33,10,3.3,3.4500087483580897,21.584,6.0705,1.5513499999999998
university,33,10,3.3,3.4500087483580897,21.584,6.0705,1.5513499999999998
at,151,15,10.066666666666666,5.304737277527816,101.175,9.443,6.115466666666666
t,115,16,7.1875,5.815279373130747,76.893,10.1175,4.17346875
usa,17,4,4.25,0.9453141468208098,10.792,2.0235,2.192125
tirthapura,8,1,8.0,1.6177985932376384,4.7215,0.0,4.7215
xu,8,2,4.0,0.44957225393225925,4.7215,0.6745,2.0235
abstract,11,7,1.5714285714285714,2.235520229697045,6.745,4.047,0.3854285714285714
srs,126,8,15.75,3.11079755529561,84.3125,4.7215,9.948875
is,1487,19,78.26315789473684,16.339090326592892,1002.307,12.141,52.114
a,1915,19,100.78947368421052,21.13274786480141,1290.993,12.141,67.30799999999999
widely,13,6,2.1666666666666665,1.7722115033939791,8.094,3.3725,0.7869166666666666
used,248,17,14.588235294117647,6.082458073275524,166.6015,10.792,9.165264705882352
for,1325,19,69.73684210526316,14.591175826061958,893.038,12.141,46.36300000000001
approximate,20,5,4.0,1.3212527781584862,12.8155,2.698,2.0235
query,29,1,29.0,7.107360232295761,18.886,0.0,18.886
processing,51,6,8.5,1.9458896105491914,33.725,3.3725,5.05875
we,703,19,37.0,8.73939489415492,473.49899999999997,12.141,24.282
consider,57,11,5.181818181818182,3.7986116701429196,37.772,6.745,2.8206363636363636
on,624,19,32.8421052631579,8.191815940882105,420.2135,12.141,21.477500000000003
arriving,7,1,7.0,1.3643281590068304,4.047,0.0,4.047
streams,16,2,8.0,1.4408440559517086,10.1175,0.6745,4.7215
make,34,12,2.8333333333333335,4.3350209100571675,22.258499999999998,7.4195,1.2365833333333334
the,6433,19,338.57894736842104,74.82396735496705,4338.384,12.141,227.69699999999997
following,62,15,4.133333333333334,5.5485726314253405,41.1445,9.443,2.1134333333333335
present,42,6,7.0,1.8286635101974036,27.6545,3.3725,4.047
lower,46,9,5.111111111111111,2.963996427172979,30.3525,5.396,2.772944444444444
bound,12,3,4.0,0.5896361141233036,7.4195,1.349,2.0235
that,768,19,40.421052631578945,9.239533623051877,517.3415,12.141,26.589499999999997
shows,34,10,3.4,3.4455060935456014,22.258499999999998,6.0705,1.6188
any,60,15,4.0,5.556477427175496,39.7955,9.443,2.0235
ing,28,6,4.666666666666667,1.735775832111276,18.2115,3.3725,2.4731666666666667
algorithm,138,7,19.714285714285715,3.5406117640470427,92.4065,4.047,12.622785714285715
must,45,11,4.090909090909091,3.8424170089236585,29.678,6.745,2.0848181818181817
have,223,18,12.38888888888889,6.505778837732026,149.739,11.4665,7.681805555555556
in,2159,19,113.63157894736842,23.93507618093758,1455.571,12.141,75.97
worst,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
case,144,15,9.6,5.31592777444828,96.4535,9.443,5.8007
variance,275,11,25.0,4.539572431925915,184.813,6.745,16.188
r,70,15,4.666666666666667,5.517968006612259,46.5405,9.443,2.4731666666666667
factor,26,7,3.7142857142857144,2.154497115821596,16.8625,4.047,1.8307857142857142
optimal,59,8,7.375,2.5580842174043097,39.121,4.7215,4.2999374999999995
where,156,18,8.666666666666666,6.595214861285629,104.5475,11.4665,5.171166666666666
number,229,17,13.470588235294118,6.081521472197588,153.786,10.792,8.411411764705882
of,3563,19,187.52631578947367,40.45647549393001,2402.569,12.141,125.81199999999998
strata,414,13,31.846153846153847,5.6633353476398725,278.5685,8.094,20.80573076923077
results,194,15,12.933333333333334,5.2673164777927335,130.17849999999999,9.443,8.049033333333334
experiments,28,7,4.0,2.1493370701826944,18.2115,4.047,2.0235
real,15,8,1.875,2.6539573180616016,9.443,4.7215,0.5901875
synthetic,7,3,2.3333333333333335,0.4697139373905674,4.047,1.349,0.8993333333333334
show,41,9,4.555555555555555,2.977865020229023,26.98,5.396,2.398222222222222
typically,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
close,11,5,2.2,1.3375249312622703,6.745,2.698,0.8094000000000001
to,1885,19,99.21052631578948,20.790927204103337,1270.758,12.141,66.24300000000001
an,382,18,21.22222222222222,6.690562461300442,256.98449999999997,11.4665,13.639888888888889
offline,31,1,31.0,7.633133917549889,20.235,0.0,20.235
which,275,17,16.176470588235293,6.098703156869712,184.813,10.792,10.236529411764705
was,230,16,14.375,5.671199328396963,154.4605,10.1175,9.0214375
given,143,13,11.0,4.484930783013207,95.779,8.094,6.745
entire,36,10,3.6,3.436746123477122,23.607499999999998,6.0705,1.7537
input,23,6,3.8333333333333335,1.7320671502775518,14.839,3.3725,1.9110833333333335
also,165,15,11.0,5.286612617725695,110.618,9.443,6.745
voila,50,1,50.0,12.631239302365303,33.0505,0.0,33.0505
generalization,8,4,2.0,0.9127906897719432,4.7215,2.0235,0.6745
neyman,48,6,8.0,1.9023738903109146,31.7015,3.3725,4.7215
allocation,376,13,28.923076923076923,5.365108470995195,252.9375,8.094,18.834115384615384
only,98,17,5.764705882352941,6.307216806724427,65.4265,10.792,3.213794117647059
under,126,13,9.692307692307692,4.500652077580194,84.3125,8.094,5.862961538461538
assumption,14,5,2.8,1.3200996638193465,8.7685,2.698,1.2141
each,323,18,17.944444444444443,6.557580882196993,217.189,11.4665,11.429027777777776
stratum,472,13,36.30769230769231,6.17310196372258,317.6895,8.094,23.81503846153846
has,116,17,6.823529411764706,6.252937900687186,77.5675,10.792,3.927970588235294
large,100,16,6.25,5.858734674195169,66.7755,10.1175,3.541125
points,13,8,1.625,2.6672787472915793,8.094,4.7215,0.4215625
choose,21,8,2.625,2.6183895465988156,13.49,4.7215,1.0960625
can,354,19,18.63157894736842,7.010642989133409,238.0985,12.141,11.8925
significantly,10,3,3.3333333333333335,0.5099032887135141,6.0705,1.349,1.5738333333333334
smaller,51,14,3.642857142857143,5.1490089863563755,33.725,8.7685,1.7826071428571428
ance,7,2,3.5,0.327398557299801,4.047,0.6745,1.68625
than,137,17,8.058823529411764,6.198682807218982,91.732,10.792,4.761176470588235
1,922,19,48.526315789473685,10.563473554879906,621.2145,12.141,32.0565
introduction,30,13,2.3076923076923075,4.79882953226429,19.5605,8.094,0.8820384615384614
method,104,15,6.933333333333334,5.406542161691928,69.4735,9.443,4.002033333333333
analysis,92,12,7.666666666666667,4.13779191052533,61.3795,7.4195,4.496666666666667
features,33,7,4.714285714285714,2.1424493747123745,21.584,4.047,2.5052857142857143
every,30,12,2.5,4.354189966302844,19.5605,7.4195,1.01175
system,16,6,2.6666666666666665,1.7536346875965576,10.1175,3.3725,1.1241666666666665
its,50,13,3.8461538461538463,4.708961907189596,33.0505,8.094,1.9197307692307692
