,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count,zscore_Average_freq
stratified,360,12,30.0,5.241961635123328,4.2854070157115105,3.224587938285373,4.050304053736693
random,485,19,25.526315789473685,7.4302326119414195,4.53787396428191,3.9202476248119167,3.8269934292500523
sampling,815,16,50.9375,9.216529421484639,4.9775401570446105,3.660093358789312,4.7823800060670605
from,670,19,35.26315789473684,8.501945502249653,4.811588960361135,3.9202476248119167,4.2738274712703666
streaming,69,1,69.0,17.631719327041264,2.8860378893061256,-0.5371699849871888,5.20208045167439
and,2188,19,115.15789473684211,24.27039043445575,5.814075336761019,3.9202476248119167,5.910365644383119
stored,30,3,10.0,1.8297291198653984,2.1804997194293376,1.1259562663971225,2.531103855624762
data,470,18,26.11111111111111,7.019270985077055,4.511262026695155,3.8383983537255593,3.8583160733515576
state,33,10,3.3,3.4500087483580897,2.2612347816085165,2.94858177084582,0.99800569516777
university,33,10,3.3,3.4500087483580897,2.2612347816085165,2.94858177084582,0.99800569516777
at,151,15,10.066666666666666,5.304737277527816,3.5494460142669673,3.5623921862860053,2.540292165931032
t,115,16,7.1875,5.815279373130747,3.318746531574301,3.660093358789312,2.0744338899839874
tirthapura,8,1,8.0,1.6177985932376384,1.0608707338818455,-0.5371699849871888,2.2225330059622936
abstract,11,7,1.5714285714285714,2.235520229697045,1.3306255684213535,2.408631991843541,-0.027971688050834977
srs,126,8,15.75,3.11079755529561,3.3961268289309547,2.610777522845187,3.159264223714358
is,1487,19,78.26315789473684,16.339090326592892,5.486911140340432,3.9202476248119167,5.376276893730137
a,1915,19,100.78947368421052,21.13274786480141,5.701185161698798,3.9202476248119167,5.7260747799803795
widely,13,6,2.1666666666666665,1.7722115033939791,1.4721332430501923,2.1752721023412476,0.4162016994869461
used,248,17,14.588235294117647,6.082458073275524,3.969722349163684,3.751869503169961,3.0533044957756803
for,1325,19,69.73684210526316,14.591175826061958,5.389202325107139,3.9202476248119167,5.216769283708392
query,29,1,29.0,7.107360232295761,2.151782494384479,-0.5371699849871888,4.003423780729337
processing,51,6,8.5,1.9458896105491914,2.629982712027672,2.1752721023412476,2.306366892060224
we,703,19,37.0,8.73939489415492,4.852315727936468,3.9202476248119167,4.340313072844205
consider,57,11,5.181818181818182,3.7986116701429196,2.724199390508171,3.0928663958147458,1.6219874856695509
on,624,19,32.8421052631579,8.191815940882105,4.751338622427375,3.9202476248119167,4.175470046877589
arriving,7,1,7.0,1.3643281590068304,0.9477593610091233,-0.5371699849871888,2.037881040731436
streams,16,2,8.0,1.4408440559517086,1.6480197754293502,0.5121458509569364,2.2225330059622936
make,34,12,2.8333333333333335,4.3350209100571675,2.2865225403880136,3.224587938285373,0.7871666939482935
the,6433,19,338.57894736842104,74.82396735496705,6.727608171342786,3.9202476248119167,7.401689009348831
following,62,15,4.133333333333334,5.5485726314253405,2.7954242660686743,3.5623921862860053,1.3093673340992122
present,42,6,7.0,1.8286635101974036,2.4655176157437917,2.1752721023412476,2.037881040731436
lower,46,9,5.111111111111111,2.963996427172979,2.5425777176664672,2.7890825177814342,1.6029884639590668
that,768,19,40.421052631578945,9.239533623051877,4.927225154806533,3.9202476248119167,4.462601155241005
shows,34,10,3.4,3.4455060935456014,2.2865225403880136,2.94858177084582,1.039287435777286
any,60,15,4.0,5.556477427175496,2.7676487609768423,3.5623921862860053,1.264024399341824
ing,28,6,4.666666666666667,1.735775832111276,2.122057444104133,2.1752721023412476,1.4771894492399755
algorithm,138,7,19.714285714285715,3.5406117640470427,3.4731869308536307,2.408631991843541,3.469715203664308
must,45,11,4.090909090909091,3.8424170089236585,2.523959891068996,3.0928663958147458,1.2951006647493215
have,223,18,12.38888888888889,6.505778837732026,3.8797145086855642,3.8383983537255593,2.8273278767149264
in,2159,19,113.63157894736842,23.93507618093758,5.802773014356509,3.9202476248119167,5.891914837972929
