,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count
of,29734,152,195.6184210526316,76.70355158090085,74.93449486081528,13.118417732956484
data,5580,143,39.02097902097902,15.967006193477228,14.018215989091296,12.319633961333407
vol,632,34,18.58823529411765,4.568035106713175,1.5393823442585435,2.6454749494539174
5,1201,137,8.766423357664234,11.931786436820618,2.9743977735046703,11.787111446918022
no,1170,115,10.173913043478262,9.879655047275298,2.896215913563317,9.834528894061611
3,1930,144,13.402777777777779,12.457428579328734,4.812932479867458,12.408387713735971
pp,804,42,19.142857142857142,4.878180482551634,1.9731655671589543,3.35550496867443
machine,1688,70,24.114285714285714,6.928620394350502,4.202609573228508,5.840610035946225
learning,3700,81,45.67901234567901,11.346958086384989,9.276864482970524,6.816901312374431
algorithm,1663,87,19.114942528735632,7.641808540505999,4.139559686179029,7.349423826789816
optimization,1396,56,24.928571428571427,6.3430962095811525,3.466186892490601,4.598057502310327
using,2257,137,16.474452554744527,11.885235271895523,5.6376250024746355,11.787111446918022
for,12171,149,81.68456375838926,30.697355634878456,30.64068821081576,12.85215647574879
prediction,782,71,11.014084507042254,6.0031106818986055,1.9176816665554133,5.92936378834879
1,5683,150,37.88666666666666,16.505079167602645,14.277981523735145,12.940910228151354
may,982,112,8.767857142857142,9.66048127875638,2.4220807629512398,9.56826763685392
on,6141,148,41.49324324324324,17.203261296483312,15.433055454481588,12.763402723346227
time,3059,108,28.324074074074073,10.353046441823064,7.6602653790219,9.213252627243662
is,14487,151,95.94039735099338,36.522388569080086,36.48162974707943,13.02966398055392
and,22383,152,147.2565789473684,57.099155561246356,56.39530607278667,13.118417732956484
to,17898,151,118.52980132450331,45.31022043154528,45.084156336110254,13.02966398055392
its,854,116,7.362068965517241,10.095742116278274,2.0992653412579108,9.923282646464175
a,18306,151,121.23178807947019,46.37427346593833,46.11313049275774,13.02966398055392
this,5455,149,36.61073825503356,16.07442194412206,13.702966553843902,12.85215647574879
study,691,77,8.974025974025974,6.523822027911221,1.6881800776953122,6.461886302764174
an,3332,141,23.631205673758867,12.837334993984987,8.348770145602204,12.142126456528278
approach,659,88,7.488636363636363,7.547635618588427,1.60747622227198,7.43817757919238
techniques,657,73,9.0,6.173146149688475,1.6024322313080217,6.106871293153918
ensemble,1603,51,31.431372549019606,7.399224021411578,3.988239957260282,4.154288740297507
h,703,84,8.369047619047619,7.157698828685478,1.7184440234790619,7.083162569582123
our,945,99,9.545454545454545,8.462290533267286,2.328766930118012,8.414468855620585
accuracy,993,75,13.24,6.381669974982841,2.4498227132530106,6.284378797959047
we,6429,135,47.62222222222222,17.230222403486785,16.15939015329158,11.609603942112894
such,1440,125,11.52,10.74840085956474,3.577154693697683,10.722066418087252
as,6117,149,41.053691275167786,17.208237794337258,15.372527562914089,12.85215647574879
tree,1243,51,24.372549019607842,6.071748127208351,3.0803215837477937,4.154288740297507
random,1887,118,15.991525423728813,10.148642985256615,4.704486674142355,10.100790151269303
these,1476,126,11.714285714285714,10.835358909721412,3.6679465310489316,10.810820170489816
were,643,95,6.768421052631579,8.21594683001462,1.5671242945603139,8.059453846010328
with,6079,150,40.526666666666664,17.18966237451144,15.276691734598883,12.940910228151354
regression,876,79,11.08860759493671,6.682967365641012,2.154749241861452,6.639393807569303
model,5170,105,49.23809523809524,14.127221264198482,12.98419784147985,8.94699137003597
the,58591,151,388.0198675496689,154.67375965653935,147.71171848428713,13.02966398055392
over,850,102,8.333333333333334,8.775348398411886,2.0891773593299945,8.680730112828277
that,7592,147,51.64625850340136,20.018647836214434,19.092470898833312,12.674648970943663
models,3074,93,33.053763440860216,9.808185267603195,7.6980953112515875,7.8819463412052
which,2590,137,18.905109489051096,12.014601507408402,6.477449497973686,11.787111446918022
class,745,74,10.067567567567568,6.253056023943223,1.8243678337221854,6.195625045556483
into,872,129,6.75968992248062,11.323644650346518,2.1446612599335353,11.07708142769751
information,688,111,6.198198198198198,9.712560357355493,1.6806140912493748,9.479513884451356
analysis,1100,102,10.784313725490197,8.700288468205432,2.7196762298247776,8.680730112828277
more,1888,137,13.781021897810218,11.822016580217237,4.707008669624335,11.787111446918022
performance,1446,82,17.634146341463413,7.145902155451782,3.592286666589558,6.905655064776996
not,2694,139,19.381294964028775,12.233645774574049,6.739737028099516,11.96461895172315
only,1098,120,9.15,10.368445729686945,2.7146322388608195,10.278297656074432
but,1079,126,8.563492063492063,10.940421434223301,2.6667143247032157,10.810820170489816
