,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count
the,58591,151,388.0198675,154.6737597,147.7117185,13.02966398
of,29734,152,195.6184211,76.70355158,74.93449486,13.11841773
and,22383,152,147.2565789,57.09915556,56.39530607,13.11841773
a,18306,151,121.2317881,46.37427347,46.11313049,13.02966398
to,17898,151,118.5298013,45.31022043,45.08415634,13.02966398
in,17234,151,114.1324503,43.58346292,43.40955134,13.02966398
is,14487,151,95.94039735,36.52238857,36.48162975,13.02966398
for,12171,149,81.68456376,30.69735563,30.64068821,12.85215648
that,7592,147,51.6462585,20.01864784,19.0924709,12.67464897
we,6429,135,47.62222222,17.2302224,16.15939015,11.60960394
on,6141,148,41.49324324,17.2032613,15.43305545,12.76340272
as,6117,149,41.05369128,17.20823779,15.37252756,12.85215648
with,6079,150,40.52666667,17.18966237,15.27669173,12.94091023
are,5994,147,40.7755102,16.89027132,15.06232212,12.67464897
1,5683,150,37.88666667,16.50507917,14.27798152,12.94091023
this,5455,149,36.61073826,16.07442194,13.70296655,12.85215648
be,5300,146,36.30136986,15.65804562,13.31205725,12.58589522
by,4784,150,31.89333333,15.12193517,12.01070759,12.94091023
can,4166,144,28.93055556,13.92287834,10.45211438,12.40838771
2,3665,148,24.76351351,13.66695672,9.188594641,12.76340272
it,3530,148,23.85135135,13.54415346,8.848125251,12.76340272
from,3451,148,23.31756757,13.47641782,8.648887608,12.76340272
an,3332,141,23.63120567,12.83733499,8.348770146,12.14212646
x,3269,118,27.70338983,11.17840304,8.18988443,10.10079015
or,3025,142,21.3028169,12.67877481,7.574517533,12.23088021
0,2917,122,23.90983607,11.0732897,7.302142021,10.45580516
t,2814,127,22.15748031,11.35488183,7.042376486,10.89957392
not,2694,139,19.38129496,12.23364577,6.739737028,11.96461895
which,2590,137,18.90510949,12.01460151,6.477449498,11.78711145
using,2257,137,16.47445255,11.88523527,5.637625002,11.78711145
have,2236,139,16.08633094,12.05390757,5.584663097,11.96461895
used,2228,138,16.14492754,11.964427,5.564487133,11.8758652
