,gram_count,document_count,Average_freq,maha_dist,zscore_gram_count,zscore_document_count
of,29734,152,195.6184210526316,76.70355158090085,74.93449486081528,13.118417732956484
data,5580,143,39.02097902097902,15.967006193477228,14.018215989091296,12.319633961333407
3,1930,144,13.402777777777779,12.457428579328734,4.812932479867458,12.408387713735971
machine,1688,70,24.114285714285714,6.928620394350502,4.202609573228508,5.840610035946225
learning,3700,81,45.67901234567901,11.346958086384989,9.276864482970524,6.816901312374431
algorithm,1663,87,19.114942528735632,7.641808540505999,4.139559686179029,7.349423826789816
optimization,1396,56,24.928571428571427,6.3430962095811525,3.466186892490601,4.598057502310327
using,2257,137,16.474452554744527,11.885235271895523,5.6376250024746355,11.787111446918022
for,12171,149,81.68456375838926,30.697355634878456,30.64068821081576,12.85215647574879
1,5683,150,37.88666666666666,16.505079167602645,14.277981523735145,12.940910228151354
on,6141,148,41.49324324324324,17.203261296483312,15.433055454481588,12.763402723346227
time,3059,108,28.324074074074073,10.353046441823064,7.6602653790219,9.213252627243662
is,14487,151,95.94039735099338,36.522388569080086,36.48162974707943,13.02966398055392
and,22383,152,147.2565789473684,57.099155561246356,56.39530607278667,13.118417732956484
to,17898,151,118.52980132450331,45.31022043154528,45.084156336110254,13.02966398055392
a,18306,151,121.23178807947019,46.37427346593833,46.11313049275774,13.02966398055392
this,5455,149,36.61073825503356,16.07442194412206,13.702966553843902,12.85215647574879
an,3332,141,23.631205673758867,12.837334993984987,8.348770145602204,12.142126456528278
ensemble,1603,51,31.431372549019606,7.399224021411578,3.988239957260282,4.154288740297507
we,6429,135,47.62222222222222,17.230222403486785,16.15939015329158,11.609603942112894
such,1440,125,11.52,10.74840085956474,3.577154693697683,10.722066418087252
as,6117,149,41.053691275167786,17.208237794337258,15.372527562914089,12.85215647574879
tree,1243,51,24.372549019607842,6.071748127208351,3.0803215837477937,4.154288740297507
random,1887,118,15.991525423728813,10.148642985256615,4.704486674142355,10.100790151269303
these,1476,126,11.714285714285714,10.835358909721412,3.6679465310489316,10.810820170489816
with,6079,150,40.526666666666664,17.18966237451144,15.276691734598883,12.940910228151354
model,5170,105,49.23809523809524,14.127221264198482,12.98419784147985,8.94699137003597
the,58591,151,388.0198675496689,154.67375965653935,147.71171848428713,13.02966398055392
that,7592,147,51.64625850340136,20.018647836214434,19.092470898833312,12.674648970943663
models,3074,93,33.053763440860216,9.808185267603195,7.6980953112515875,7.8819463412052
which,2590,137,18.905109489051096,12.014601507408402,6.477449497973686,11.787111446918022
more,1888,137,13.781021897810218,11.822016580217237,4.707008669624335,11.787111446918022
performance,1446,82,17.634146341463413,7.145902155451782,3.592286666589558,6.905655064776996
not,2694,139,19.381294964028775,12.233645774574049,6.739737028099516,11.96461895172315
can,4166,144,28.930555555555557,13.922878338968168,10.4521143775728,12.408387713735971
also,1640,126,13.015873015873016,10.823798924337591,4.081553790093509,10.810820170489816
be,5300,146,36.3013698630137,15.658045624325093,13.312057254137137,12.585895218541099
one,1647,133,12.38345864661654,11.460049757062379,4.099207758467363,11.432096437307765
or,3025,142,21.302816901408452,12.678774814837688,7.5745175326346095,12.230880208930841
two,1221,126,9.69047619047619,10.890412742004045,3.024837683144253,10.810820170489816
it,3530,148,23.85135135135135,13.544153463472375,8.848125251034071,12.763402723346227
2,3665,148,24.763513513513512,13.66695671811329,9.188594641101254,12.763402723346227
at,1942,134,14.492537313432836,11.557615471454191,4.8431964256512074,11.520850189710329
in,17234,151,114.13245033112582,43.58346292322916,43.40955133607611,13.02966398055392
4,1420,133,10.676691729323307,11.492072262202562,3.5267147840581003,11.432096437307765
are,5994,147,40.775510204081634,16.890271315821956,15.062322118630656,12.674648970943663
has,1389,134,10.365671641791044,11.5922772729924,3.4485329241167473,11.520850189710329
have,2236,139,16.086330935251798,12.05390757224388,5.584663097353073,11.96461895172315
p,1566,115,13.617391304347827,9.837835591499102,3.894926124427054,9.834528894061611
each,1942,129,15.054263565891473,11.114512849470824,4.8431964256512074,11.07708142769751
number,1620,128,12.65625,11.005658242960736,4.031113880453927,10.988327675294945
methods,1739,111,15.666666666666666,9.51688841531682,4.331231342809444,9.479513884451356
other,1314,131,10.030534351145038,11.331344916432176,3.259383262968312,11.254588932502637
used,2228,138,16.144927536231883,11.964427003858686,5.564487133497241,11.875865199320586
algorithms,1370,69,19.855072463768117,6.369158463419132,3.4006150099591435,5.7518562835436615
all,1819,137,13.277372262773723,11.819673721667876,4.5329909813677745,11.787111446918022
