degree,alpha,cv_mean_error,cv_std_error
1,0.01,1387696.3373722825,640497.1358429042
1,0.1,1387696.3406541715,640495.0619408615
1,1.0,1387696.382293166,640474.3230869656
1,10.0,1387697.680693874,640266.9512097624
1,100.0,1387798.8657775363,638194.9071554936
2,0.01,794004.9623735172,461883.8251692187
2,0.1,794004.9285335499,461882.76651039324
2,1.0,794004.64890683,461872.0768504477
2,10.0,794002.3358619703,461767.4604354144
2,100.0,794076.9902693984,460722.3606158842
3,0.01,725183.6895195717,326086.63167061546
3,0.1,725183.9828944165,326091.7706115078
3,1.0,725186.9259974959,326143.1487422466
3,10.0,725219.0692403361,326656.46012337285
3,100.0,725770.9540972016,331748.0385547873
4,0.01,638247.3590360405,274271.6098769558
4,0.1,638247.8416323075,274276.0667384227
4,1.0,638252.6296917871,274320.63300933916
4,10.0,638303.2098529341,274767.22017962974
4,100.0,639062.7174179906,279264.98729370954
5,0.01,9825.73003526586,481.9760840185564
5,0.1,9825.733673870465,482.03502433283427
5,1.0,9825.815874284313,482.6259877002987
5,10.0,9831.219539156036,488.69701632635963
5,100.0,10343.493339335797,572.6205244317377
6,0.01,9832.919615843599,479.3285878036084
6,0.1,9832.930667120725,479.35260094909984
6,1.0,9833.095365853103,479.5940293986481
6,10.0,9840.16674762552,482.15262814801173
6,100.0,10452.634623540343,540.0231943797752
7,0.01,9836.096742376914,479.938409567284
7,0.1,9836.098927876072,479.9756435043876
7,1.0,9836.200302003974,480.3529743203418
7,10.0,9845.166263273302,484.63938663841964
7,100.0,10730.08366114307,596.0454913279914
8,0.01,9848.727327496123,460.3896568290245
8,0.1,9848.839351898301,460.38860589248316
8,1.0,9850.048470355681,460.38612057724873
8,10.0,9871.027098486986,461.17175049715615
8,100.0,10969.55713325493,556.4764191625515
9,0.01,9898.716882655513,468.7395825012968
9,0.1,9898.661527981718,468.721147647259
9,1.0,9898.190961965558,468.5444130403071
9,10.0,9901.783373964037,467.5474924318922
9,100.0,10767.5146091121,540.2162546228242
10,0.01,9881.053192328787,471.8932125851845
10,0.1,9881.00730871534,471.8870480190916
10,1.0,9880.624245306137,471.83231884057477
10,10.0,9884.37088374023,471.9791500425335
10,100.0,10679.564649437321,541.8033731909042
