degree,alpha,cv_mean_error,cv_std_error
1,0.01,1387696.3369741037,640497.3624649904
1,0.1,1387696.3365833126,640497.3281600465
1,1.0,1387696.3326777902,640496.985111166
1,10.0,1387696.293861453,640493.5546782959
1,100.0,1387695.9295799893,640459.2559421666
2,0.01,794004.9660397137,461883.9396913783
2,0.1,794004.9652337892,461883.917404274
2,1.0,794004.957177969,461883.6945336246
2,10.0,794004.8769622898,461881.46586648084
2,100.0,794004.1090477784,461859.18312926264
3,0.01,725183.657842855,326086.07286061195
3,0.1,725183.6627758725,326086.1912285994
3,1.0,725183.7121192525,326087.3749051281
3,10.0,725184.2068734879,326099.2113358199
3,100.0,725189.2863628427,326217.54219110747
4,0.01,638247.3070546633,274271.12541597924
4,0.1,638247.3161623788,274271.2262894024
4,1.0,638247.4072514916,274272.2350208996
4,10.0,638248.3193384141,274282.32206240564
4,100.0,638257.5596931962,274383.1651359412
5,0.01,9825.72968438517,481.9695724659362
5,0.1,9825.729702188957,481.9698929479478
5,1.0,9825.729881691237,481.9730977936238
5,10.0,9825.731823135142,482.0051488053208
5,100.0,9825.765858703156,482.325914808701
6,0.01,9832.918454595041,479.32593917197556
6,0.1,9832.91850736528,479.32610166417766
6,1.0,9832.919036697602,479.3277266088417
6,10.0,9832.924493005816,479.3439783281032
6,100.0,9832.99532877425,479.50672421493204
7,0.01,9836.026674510364,480.05781796701757
7,0.1,9836.026678327064,480.0580579597942
7,1.0,9836.026719043031,480.06045799290695
7,10.0,9836.027381042233,480.08446887197516
7,100.0,9836.059421541577,480.3256308314432
8,0.01,9839.11476847117,478.5713971809636
8,0.1,9839.114701453685,478.5713832786446
8,1.0,9839.114034158583,478.5712444755754
8,10.0,9839.107649112499,478.5698784929583
8,100.0,9839.072508993891,478.5584164984305
9,0.01,9840.613169112896,477.4514517636508
9,0.1,9840.613060701255,477.45150649913546
9,1.0,9840.6119808517,477.45205409861364
9,10.0,9840.601608837871,477.45755460111155
9,100.0,9840.540365310915,477.5149977256978
10,0.01,9839.346555614437,482.42612283160395
10,0.1,9839.346590745925,482.4259845073953
10,1.0,9839.346946957228,482.4246016064443
10,10.0,9839.350998479822,482.41080669646624
10,100.0,9839.440226837847,482.2762634400655
